약자,한국정보과학회 (2020),BK21플러스 IF (2018),KAIST CS (2022),SNU CSE (2024.4),POSTECH CSE (2023.10),평균 (정규화),학회명,DBLP Key
SPAA,우수,3,O,O,우수,0.75,ACM Symposium on Parallelism in Algorithms and Architectures (SPAA),conf/spaa
SRDS,우수,1,,,우수,0.25,IEEE International Symposium on Reliable Distributed Systems (SRDS),conf/srds
STACS,우수,1,,,우수,0.25,Symposium on Theoretical Aspects of Computer Science (STACS),conf/stacs
STOC,최우수,4,O,O,최우수,1.00,Symposium on the Theory of Computing (STOC),conf/stoc
SYSTOR,우수,,,,우수,0.20,International Systems and Storage Conference (SYSTOR),conf/systor
TACAS,우수,2,O,,최우수,0.60,International Conference on Tools and Algorithms for Construction and Analysis of Systems (TACAS),conf/tacas
TCC,,1,,,,0.05,Theory of Cryptography Conference (TCC),conf/tcc
UAI,우수,3,O,O,우수,0.75,Conference on Uncertainty in Artificial Intelligence (UAI),conf/uai
UBICOMP,우수,3,O,O,최우수,0.85,Ubiquitous Computing (UbiComp),conf/huc
UIST,최우수,2,O,O,최우수,0.90,ACM Symposium on User Interface Software and Technology (UIST),conf/uist
USENIX ATC,최우수,3,O,O,최우수,0.95,USENIX Annual Technical Conference (USENIX ATC),conf/usenix
USENIX FAST,최우수,3,,O,최우수,0.75,USENIX Conference on File and Storage Technologies (FAST),conf/fast
USENIX NSDI,최우수,4,,O,최우수,0.80,Symposium on Networked Systems Design and Implementation (NSDI),conf/nsdi
USENIX OSDI,최우수,4,O,O,최우수,1.00,USENIX Symposium on Operating Systems Design and Implementation (OSDI),conf/osdi
USENIX Security,최우수,3,O,O,최우수,0.95,USENIX Security Symposium,conf/uss
VEE,우수,1,,,우수,0.25,International Conference on Virtual Execution Environments (VEE),conf/vee
VIS,최우수,4,,O,최우수,0.80,IEEE Visualization Conference (VIS),conf/visualization
VLDB / PVLDB,최우수,4,O,O,최우수,1.00,Very Large Data Bases Conference (VLDB),conf/vldb
